       3
(7e14.5)
     0.0000e+00     0.0000e+00      0  0  0.00
     299   1.00000  0.0000e+00
   2.36553e-05   1.88044e-05   1.27215e-05   5.40311e-06  -3.10588e-06  -1.27025e-05  -2.32149e-05
  -3.43937e-05  -4.59141e-05  -5.73906e-05  -6.83904e-05  -7.84426e-05  -8.70554e-05  -9.37347e-05
  -9.80070e-05  -9.94543e-05  -9.77571e-05  -9.27244e-05  -8.43205e-05  -7.26866e-05  -5.81543e-05
  -4.12438e-05  -2.26509e-05  -3.22762e-06   1.60557e-05   3.41805e-05   5.01665e-05   6.31560e-05
   7.24933e-05   7.78124e-05   7.91259e-05   7.68767e-05   7.19511e-05   6.56644e-05   5.97216e-05
   5.61270e-05   5.70352e-05   6.45530e-05   8.05126e-05   1.06228e-04   1.42241e-04   1.88093e-04
   2.42120e-04   3.01359e-04   3.61516e-04   4.17066e-04   4.61445e-04   4.87406e-04   4.87487e-04
   4.54614e-04   3.82802e-04   2.67906e-04   1.08342e-04  -9.42444e-05  -3.34471e-04  -6.02988e-04
  -8.86577e-04  -1.16855e-03  -1.42941e-03  -1.64796e-03  -1.80265e-03  -1.87328e-03  -1.84275e-03
  -1.69859e-03  -1.43459e-03  -1.05211e-03  -5.61210e-04   1.87620e-05   6.59121e-04   1.32262e-03
   1.96494e-03   2.53670e-03   2.98616e-03   3.26387e-03   3.33163e-03   3.17096e-03   2.78488e-03
   2.19470e-03   1.43757e-03   5.68119e-04  -3.40785e-04  -1.20607e-03  -1.94974e-03  -2.51084e-03
  -2.84845e-03  -2.94491e-03  -2.80650e-03  -2.45942e-03  -1.94963e-03  -1.34018e-03  -7.04357e-04
  -1.14079e-04   3.74700e-04   7.29872e-04   9.42952e-04   1.02594e-03   1.00517e-03   9.14085e-04
   7.83845e-04   6.38017e-04   4.91995e-04   3.52608e-04   2.19890e-04   9.22187e-05  -2.74616e-05
  -1.31081e-04  -2.07909e-04  -2.46858e-04  -2.42222e-04  -1.98319e-04  -1.27311e-04  -4.51399e-05
   3.13074e-05   9.09478e-05   1.31327e-04   1.54873e-04   1.67258e-04   1.73544e-04   1.75158e-04
   1.70588e-04   1.55027e-04   1.25740e-04   8.49630e-05   3.82993e-05  -6.67945e-06  -4.54282e-05
